Category,Name,Type,Value,Units
Weight,ByWeight/Irrigation,c,s244,N/A
Weight,Status,c,s5,N/A
Weight,Weight,c,s4,g
Weight,WeightAdjusted,c,cs839,g
Weight,Weight Smooth,c,ws,g
Weight,Weight Normalized,c,wn,g/g
Weight,Transpiration Rate,c,tr,g/min
Weight,Transpiration Rate (by weight adjusted),c,trwadj,g/min
Weight,E,c,e,g<sub>water</sub>/g<sub>plant</sub>/min
Weight,E (by weight adjusted),c,ewadj,g<sub>water</sub>/g<sub>plant</sub>/min
Weight,Gs canopy (Watchdog),c,g2s,g<sub>water</sub>/min
Weight,"Gs canopy (Watchdog, by weight adjusted)",c,g2swadj,g<sub>water</sub>/min
Weight,Gs canopy per weight (Watchdog),c,gs,g<sub>water</sub>/g<sub>plant</sub>/min
Weight,"Gs canopy per weight (Watchdog, by weight adjusted)",c,gswadj,g<sub>water</sub>/g<sub>plant</sub>/min
Weight,Calculated VWC,c,cvwc,cm^3/cm^3
Weight,RDT Morning,d,rdtm,g
Weight,RDT Evening,d,rdte,g
Weight,Daily Transpiration,d,dt,g
Weight,Daily Transpiration (by weight adjusted),d,dtwadj,g
Weight,Normalized Daily Transpiration,d,ndt,g<sub>water</sub>/g<sub>plant</sub>
Weight,Plant Growth,d,pg,g
Weight,Plant net Weight,d,pnw,g
Weight,Calculated Plant Weight,d,cpw,g
Weight,Plant Water Recharge,d,pwr,g
Weight,Analog P,c,analogp,
Weight,Status;a,c,s212,
Weight,Status;b,c,s213,
Weight,Status;c,c,s214,
Weight,Status;d,c,s215,
Imported,porometer Gs,c,cs852,mmol m-2 s-1
Imported,porometer Temperature,c,cs853,Degc
Weather,Weather station PARLight,c,wthrspar,µmol/m<sup>2</sup>/s
Weather,Weather station RH,c,wthrsrh,%
Weather,Weather station Temp,c,wthrstemp,°C
Weather,Weather Station VPD,c,wthrsvpd,kPa
Weather,Weather Station VPD smooth,c,wthrsvpd|sg,kPa
Weather,Weather station PARLight DLI,d,wthrsdli,mol/m^2
2/VP4,BarometricPressure/2/VP4,c,s98,kPa
2/VP4,RH/2/VP4,c,s13,%
2/VP4,Temperature/2/VP4,c,s99,°c
2/VP4,VPD (/2/VP4),c,vpd-99,Pa
2/VP4,Gs canopy per weight (/2/VP4),c,gs-99,g<sub>water</sub>/g<sub>plant</sub>/min
2/VP4,Gs canopy (/2/VP4),c,g2s-99,g<sub>water</sub>/min
