Timestamp,A01a,A01b,A01c,A01d,A02a,A02b,A02c,A02d,A03a,A03b,A03c,A03d,A04a,A04b,A04c,A04d,A05a,A05b,A05c,A05d,A06a,A06b,A06c,A06d,A07a,A07b,A07c,A07d,A08a,A08b,A08c,A08d
2025-03-03 00:00:00,,,,,,,,13.6,,,,,,,,,,,,,,,,,,14.2,,,,,,
2025-03-03 00:03:00,,,,,,,,13.5,,,,,,,,,,,,,,,,,,14.2,,,,,,
2025-03-03 00:06:00,,,,,,,,13.5,,,,,,,,,,,,,,,,,,14.2,,,,,,
2025-03-03 00:09:00,,,,,,,,13.5,,,,,,,,,,,,,,,,,,14.2,,,,,,
2025-03-03 00:12:00,,,,,,,,13.4,,,,,,,,,,,,,,,,,,14.1,,,,,,
2025-03-03 00:15:00,,,,,,,,13.4,,,,,,,,,,,,,,,,,,14.1,,,,,,
2025-03-03 00:18:00,,,,,,,,13.4,,,,,,,,,,,,,,,,,,14.1,,,,,,
2025-03-03 00:21:00,,,,,,,,13.4,,,,,,,,,,,,,,,,,,14.1,,,,,,
2025-03-03 00:24:00,,,,,,,,13.3,,,,,,,,,,,,,,,,,,14.0,,,,,,
2025-03-03 00:27:00,,,,,,,,13.3,,,,,,,,,,,,,,,,,,14.0,,,,,,
2025-03-03 00:30:00,,,,,,,,13.3,,,,,,,,,,,,,,,,,,14.0,,,,,,
2025-03-03 00:33:00,,,,,,,,13.3,,,,,,,,,,,,,,,,,,14.0,,,,,,
2025-03-03 00:36:00,,,,,,,,13.2,,,,,,,,,,,,,,,,,,14.0,,,,,,
2025-03-03 00:39:00,,,,,,,,13.2,,,,,,,,,,,,,,,,,,13.9,,,,,,
2025-03-03 00:42:00,,,,,,,,13.2,,,,,,,,,,,,,,,,,,13.9,,,,,,
2025-03-03 00:45:00,,,,,,,,13.1,,,,,,,,,,,,,,,,,,13.9,,,,,,
2025-03-03 00:48:00,,,,,,,,13.1,,,,,,,,,,,,,,,,,,13.8,,,,,,
2025-03-03 00:51:00,,,,,,,,13.1,,,,,,,,,,,,,,,,,,13.8,,,,,,
2025-03-03 00:54:00,,,,,,,,13.0,,,,,,,,,,,,,,,,,,13.8,,,,,,
2025-03-03 00:57:00,,,,,,,,13.0,,,,,,,,,,,,,,,,,,13.8,,,,,,
2025-03-03 01:00:00,,,,,,,,13.0,,,,,,,,,,,,,,,,,,13.7,,,,,,
2025-03-03 01:03:00,,,,,,,,13.0,,,,,,,,,,,,,,,,,,13.7,,,,,,
2025-03-03 01:06:00,,,,,,,,13.0,,,,,,,,,,,,,,,,,,13.7,,,,,,
2025-03-03 01:09:00,,,,,,,,12.9,,,,,,,,,,,,,,,,,,13.6,,,,,,
2025-03-03 01:12:00,,,,,,,,12.9,,,,,,,,,,,,,,,,,,13.6,,,,,,
2025-03-03 01:15:00,,,,,,,,12.9,,,,,,,,,,,,,,,,,,13.6,,,,,,
2025-03-03 01:18:00,,,,,,,,12.9,,,,,,,,,,,,,,,,,,13.5,,,,,,
2025-03-03 01:21:00,,,,,,,,12.8,,,,,,,,,,,,,,,,,,13.5,,,,,,
2025-03-03 01:24:00,,,,,,,,12.8,,,,,,,,,,,,,,,,,,13.5,,,,,,
2025-03-03 01:27:00,,,,,,,,12.8,,,,,,,,,,,,,,,,,,13.4,,,,,,
2025-03-03 01:30:00,,,,,,,,12.8,,,,,,,,,,,,,,,,,,13.4,,,,,,
2025-03-03 01:33:00,,,,,,,,12.7,,,,,,,,,,,,,,,,,,13.4,,,,,,
2025-03-03 01:36:00,,,,,,,,12.7,,,,,,,,,,,,,,,,,,13.4,,,,,,
2025-03-03 01:39:00,,,,,,,,12.7,,,,,,,,,,,,,,,,,,13.4,,,,,,
2025-03-03 01:42:00,,,,,,,,12.7,,,,,,,,,,,,,,,,,,13.3,,,,,,
2025-03-03 01:45:00,,,,,,,,12.6,,,,,,,,,,,,,,,,,,13.3,,,,,,
2025-03-03 01:48:00,,,,,,,,12.6,,,,,,,,,,,,,,,,,,13.3,,,,,,
2025-03-03 01:51:00,,,,,,,,12.6,,,,,,,,,,,,,,,,,,13.2,,,,,,
2025-03-03 01:54:00,,,,,,,,12.5,,,,,,,,,,,,,,,,,,13.2,,,,,,
2025-03-03 01:57:00,,,,,,,,12.5,,,,,,,,,,,,,,,,,,13.2,,,,,,
2025-03-03 02:00:00,,,,,,,,12.4,,,,,,,,,,,,,,,,,,13.1,,,,,,
2025-03-03 02:03:00,,,,,,,,12.4,,,,,,,,,,,,,,,,,,13.1,,,,,,
2025-03-03 02:06:00,,,,,,,,12.4,,,,,,,,,,,,,,,,,,13.1,,,,,,
2025-03-03 02:09:00,,,,,,,,12.4,,,,,,,,,,,,,,,,,,13.1,,,,,,
2025-03-03 02:12:00,,,,,,,,12.4,,,,,,,,,,,,,,,,,,13.1,,,,,,
2025-03-03 02:15:00,,,,,,,,12.4,,,,,,,,,,,,,,,,,,13.0,,,,,,
2025-03-03 02:18:00,,,,,,,,12.3,,,,,,,,,,,,,,,,,,13.0,,,,,,
2025-03-03 02:21:00,,,,,,,,12.3,,,,,,,,,,,,,,,,,,13.0,,,,,,
2025-03-03 02:24:00,,,,,,,,12.3,,,,,,,,,,,,,,,,,,13.0,,,,,,
2025-03-03 02:27:00,,,,,,,,12.3,,,,,,,,,,,,,,,,,,12.9,,,,,,
2025-03-03 02:30:00,,,,,,,,12.2,,,,,,,,,,,,,,,,,,12.9,,,,,,
2025-03-03 02:33:00,,,,,,,,12.2,,,,,,,,,,,,,,,,,,12.9,,,,,,
2025-03-03 02:36:00,,,,,,,,12.2,,,,,,,,,,,,,,,,,,12.9,,,,,,
2025-03-03 02:39:00,,,,,,,,12.2,,,,,,,,,,,,,,,,,,12.8,,,,,,
2025-03-03 02:42:00,,,,,,,,12.1,,,,,,,,,,,,,,,,,,12.8,,,,,,
2025-03-03 02:45:00,,,,,,,,12.1,,,,,,,,,,,,,,,,,,12.8,,,,,,
2025-03-03 02:48:00,,,,,,,,12.1,,,,,,,,,,,,,,,,,,12.8,,,,,,
2025-03-03 02:51:00,,,,,,,,12.1,,,,,,,,,,,,,,,,,,12.8,,,,,,
2025-03-03 02:54:00,,,,,,,,12.1,,,,,,,,,,,,,,,,,,12.8,,,,,,
2025-03-03 02:57:00,,,,,,,,12.1,,,,,,,,,,,,,,,,,,12.7,,,,,,
2025-03-03 03:00:00,,,,,,,,12.1,,,,,,,,,,,,,,,,,,12.7,,,,,,
2025-03-03 03:03:00,,,,,,,,12.1,,,,,,,,,,,,,,,,,,12.7,,,,,,
2025-03-03 03:06:00,,,,,,,,12.1,,,,,,,,,,,,,,,,,,12.7,,,,,,
2025-03-03 03:09:00,,,,,,,,12.0,,,,,,,,,,,,,,,,,,12.7,,,,,,
2025-03-03 03:12:00,,,,,,,,12.0,,,,,,,,,,,,,,,,,,12.7,,,,,,
2025-03-03 03:15:00,,,,,,,,12.0,,,,,,,,,,,,,,,,,,12.7,,,,,,
2025-03-03 03:18:00,,,,,,,,12.0,,,,,,,,,,,,,,,,,,12.6,,,,,,
2025-03-03 03:21:00,,,,,,,,12.0,,,,,,,,,,,,,,,,,,12.6,,,,,,
2025-03-03 03:24:00,,,,,,,,11.9,,,,,,,,,,,,,,,,,,12.6,,,,,,
2025-03-03 03:27:00,,,,,,,,11.9,,,,,,,,,,,,,,,,,,12.6,,,,,,
2025-03-03 03:30:00,,,,,,,,11.9,,,,,,,,,,,,,,,,,,12.6,,,,,,
2025-03-03 03:33:00,,,,,,,,11.9,,,,,,,,,,,,,,,,,,12.6,,,,,,
2025-03-03 03:36:00,,,,,,,,11.9,,,,,,,,,,,,,,,,,,12.6,,,,,,
2025-03-03 03:39:00,,,,,,,,11.9,,,,,,,,,,,,,,,,,,12.6,,,,,,
2025-03-03 03:42:00,,,,,,,,11.9,,,,,,,,,,,,,,,,,,12.5,,,,,,
2025-03-03 03:45:00,,,,,,,,11.9,,,,,,,,,,,,,,,,,,12.5,,,,,,
2025-03-03 03:48:00,,,,,,,,11.9,,,,,,,,,,,,,,,,,,12.5,,,,,,
2025-03-03 03:51:00,,,,,,,,11.9,,,,,,,,,,,,,,,,,,12.5,,,,,,
2025-03-03 03:54:00,,,,,,,,11.9,,,,,,,,,,,,,,,,,,12.5,,,,,,
2025-03-03 03:57:00,,,,,,,,11.9,,,,,,,,,,,,,,,,,,12.5,,,,,,
