MAP,A,B,C,D
1,C_control-8,C_drought-6,A_drought-7,B_drought-6
2,A_drought-10,C_drought-1,C_control-7,C_drought-11
3,A_drought-9,C_drought-0,B_drought-8,C_control-0
4,D_control-9,B_drought-11,B_drought-5,A_drought-3
5,A_control-3,A_drought-5,C_control-5,C_control-6
6,C_control-4,A_drought-0,A_control-8,B_control-1
7,B_drought-7,C_drought-9,C_drought-8,D_drought-6
8,C_control-3,D_drought-9,A_control-11,B_control-2
9,B_control-0,B_drought-2,B_control-11,B_drought-10
10,D_drought-5,B_control-9,B_control-10,A_control-5
11,C_drought-10,A_control-10,D_control-10,D_drought-0
12,A_control-4,D_control-3,A_drought-6,D_drought-8
13,C_control-2,C_drought-3,B_control-5,D_control-6
14,B_control-6,D_control-8,B_control-3,D_drought-7
15,A_drought-2,D_drought-3,C_drought-2,A_control-9
16,D_control-0,B_drought-0,D_control-7,D_drought-11
17,B_drought-9,D_control-1,B_drought-4,A_control-2
18,A_drought-4,C_control-9,C_control-1,D_control-4
1,C_drought-5,A_control-6,A_drought-11,C_drought-7
2,A_control-1,D_control-2,A_control-7,B_control-8
3,A_drought-8,C_control-10,D_drought-1,B_drought-1
4,D_control-11,D_drought-2,A_control-0,D_control-5
5,B_drought-3,D_drought-10,C_drought-4,D_drought-4
6,A_drought-1,B_control-4,B_control-7,C_control-11
