Plant Position,Treat Name,Line,Treat,Combined
A01a,C_control-8,C,control,A01a (C_control-8)
A01b,C_drought-6,C,drought,A01b (C_drought-6)
A01c,A_drought-7,A,drought,A01c (A_drought-7)
A01d,B_drought-6,B,drought,A01d (B_drought-6)
A02a,A_drought-10,A,drought,A02a (A_drought-10)
A02b,C_drought-1,C,drought,A02b (C_drought-1)
A02c,C_control-7,C,control,A02c (C_control-7)
A02d,C_drought-11,C,drought,A02d (C_drought-11)
A03a,A_drought-9,A,drought,A03a (A_drought-9)
A03b,C_drought-0,C,drought,A03b (C_drought-0)
A03c,B_drought-8,B,drought,A03c (B_drought-8)
A03d,C_control-0,C,control,A03d (C_control-0)
A04a,D_control-9,D,control,A04a (D_control-9)
A04b,B_drought-11,B,drought,A04b (B_drought-11)
A04c,B_drought-5,B,drought,A04c (B_drought-5)
A04d,A_drought-3,A,drought,A04d (A_drought-3)
A05a,A_control-3,A,control,A05a (A_control-3)
A05b,A_drought-5,A,drought,A05b (A_drought-5)
A05c,C_control-5,C,control,A05c (C_control-5)
A05d,C_control-6,C,control,A05d (C_control-6)
A06a,C_control-4,C,control,A06a (C_control-4)
A06b,A_drought-0,A,drought,A06b (A_drought-0)
A06c,A_control-8,A,control,A06c (A_control-8)
A06d,B_control-1,B,control,A06d (B_control-1)
A07a,B_drought-7,B,drought,A07a (B_drought-7)
A07b,C_drought-9,C,drought,A07b (C_drought-9)
A07c,C_drought-8,C,drought,A07c (C_drought-8)
A07d,D_drought-6,D,drought,A07d (D_drought-6)
A08a,C_control-3,C,control,A08a (C_control-3)
A08b,D_drought-9,D,drought,A08b (D_drought-9)
A08c,A_control-11,A,control,A08c (A_control-11)
A08d,B_control-2,B,control,A08d (B_control-2)
A09a,B_control-0,B,control,A09a (B_control-0)
A09b,B_drought-2,B,drought,A09b (B_drought-2)
A09c,B_control-11,B,control,A09c (B_control-11)
A09d,B_drought-10,B,drought,A09d (B_drought-10)
A10a,D_drought-5,D,drought,A10a (D_drought-5)
A10b,B_control-9,B,control,A10b (B_control-9)
A10c,B_control-10,B,control,A10c (B_control-10)
A10d,A_control-5,A,control,A10d (A_control-5)
A11a,C_drought-10,C,drought,A11a (C_drought-10)
A11b,A_control-10,A,control,A11b (A_control-10)
A11c,D_control-10,D,control,A11c (D_control-10)
A11d,D_drought-0,D,drought,A11d (D_drought-0)
A12a,A_control-4,A,control,A12a (A_control-4)
A12b,D_control-3,D,control,A12b (D_control-3)
A12c,A_drought-6,A,drought,A12c (A_drought-6)
A12d,D_drought-8,D,drought,A12d (D_drought-8)
A13a,C_control-2,C,control,A13a (C_control-2)
A13b,C_drought-3,C,drought,A13b (C_drought-3)
A13c,B_control-5,B,control,A13c (B_control-5)
A13d,D_control-6,D,control,A13d (D_control-6)
A14a,B_control-6,B,control,A14a (B_control-6)
A14b,D_control-8,D,control,A14b (D_control-8)
A14c,B_control-3,B,control,A14c (B_control-3)
A14d,D_drought-7,D,drought,A14d (D_drought-7)
A15a,A_drought-2,A,drought,A15a (A_drought-2)
A15b,D_drought-3,D,drought,A15b (D_drought-3)
A15c,C_drought-2,C,drought,A15c (C_drought-2)
A15d,A_control-9,A,control,A15d (A_control-9)
A16a,D_control-0,D,control,A16a (D_control-0)
A16b,B_drought-0,B,drought,A16b (B_drought-0)
A16c,D_control-7,D,control,A16c (D_control-7)
A16d,D_drought-11,D,drought,A16d (D_drought-11)
A17a,B_drought-9,B,drought,A17a (B_drought-9)
A17b,D_control-1,D,control,A17b (D_control-1)
A17c,B_drought-4,B,drought,A17c (B_drought-4)
A17d,A_control-2,A,control,A17d (A_control-2)
A18a,A_drought-4,A,drought,A18a (A_drought-4)
A18b,C_control-9,C,control,A18b (C_control-9)
A18c,C_control-1,C,control,A18c (C_control-1)
A18d,D_control-4,D,control,A18d (D_control-4)
B01a,C_drought-5,C,drought,B01a (C_drought-5)
B01b,A_control-6,A,control,B01b (A_control-6)
B01c,A_drought-11,A,drought,B01c (A_drought-11)
B01d,C_drought-7,C,drought,B01d (C_drought-7)
B02a,A_control-1,A,control,B02a (A_control-1)
B02b,D_control-2,D,control,B02b (D_control-2)
B02c,A_control-7,A,control,B02c (A_control-7)
B02d,B_control-8,B,control,B02d (B_control-8)
B03a,A_drought-8,A,drought,B03a (A_drought-8)
B03b,C_control-10,C,control,B03b (C_control-10)
B03c,D_drought-1,D,drought,B03c (D_drought-1)
B03d,B_drought-1,B,drought,B03d (B_drought-1)
B04a,D_control-11,D,control,B04a (D_control-11)
B04b,D_drought-2,D,drought,B04b (D_drought-2)
B04c,A_control-0,A,control,B04c (A_control-0)
B04d,D_control-5,D,control,B04d (D_control-5)
B05a,B_drought-3,B,drought,B05a (B_drought-3)
B05b,D_drought-10,D,drought,B05b (D_drought-10)
B05c,C_drought-4,C,drought,B05c (C_drought-4)
B05d,D_drought-4,D,drought,B05d (D_drought-4)
B06a,A_drought-1,A,drought,B06a (A_drought-1)
B06b,B_control-4,B,control,B06b (B_control-4)
B06c,B_control-7,B,control,B06c (B_control-7)
B06d,C_control-11,C,control,B06d (C_control-11)
